gauge_id,gauge_lat,gauge_lon,area,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,p_mean,seasonality_FAO_PM,ire_pc_sse,kar_pc_sse,slp_dg_sav,for_pc_sse,cly_pc_sav,snd_pc_sav,dor_pc_pva
camels_01118300,41.47482,-71.83424,13.7009353,0.669984,0.1581149,1.1248407,0.060438056,3.490607,0.66132784,3.2302334,1.1860272,1.957378741,0.0,23.08524252,100.0,6.0,63.0,0
camels_01121000,41.84371,-72.16897,94.39441251,0.64231944,0.23684502,1.1287262,0.057015743,3.399857,0.65065026,3.19862,1.1122485,0.0,0.0,37.89752098,100.0,6.0,60.10557227,0
camels_01123000,41.67177,-72.0523,83.9188029,0.6294172,0.14965889,1.1337749,0.058590006,3.371763,0.6505818,3.2849987,1.0787272,0.0,0.0,31.06997247,99.98590866,6.992146037,60.02372329,0
camels_01134500,44.51172,-71.83731,209.0953394,0.50882,0.28663722,1.0916955,0.043189596,2.6984606,0.55188227,3.1998343,0.91987795,0.0,0.0,72.73058483,99.86529242,7.134707584,57.86529242,0
camels_01137500,44.26867,-71.63036,237.8074088,0.45875534,0.37096673,1.0807248,0.044900753,2.6376376,0.5410678,3.6186044,0.8030125,0.0,0.0,107.2366883,97.55895262,6.088209476,59.91179052,0
camels_01139000,44.15034,-72.06509,258.9832118,0.5430434,0.28042933,1.1092986,0.046543464,2.8827097,0.58542097,3.1419117,0.9249999,0.0,96.80400895,68.1737194,100.0,9.45657015,54.54342985,0
camels_01139800,44.09284,-72.33565,24.97815045,0.53085566,0.27800378,1.092504,0.046885695,2.901247,0.5891855,3.2238295,0.8846743,0.0,91.15287613,88.46719677,99.9238134,10.97830425,52.0380933,0
camels_01142500,43.93451,-72.65788,79.63046279,0.49495667,0.2760082,1.0849674,0.04544832,2.7267597,0.5621492,3.4551423,0.8535457,0.0,60.31541301,99.83122001,97.02920025,9.006353538,53.01977764,0
camels_01144000,43.71424,-72.41815,1777.408717,0.5183132,0.28138173,1.0881411,0.046475016,2.8336701,0.5760438,3.3365297,0.90279603,0.0,60.71922576,101.051871,97.33824912,9.515634469,53.24381839,0
camels_01162500,42.68259,-72.11508,77.94575988,0.6273522,0.32665595,1.1105263,0.05776865,3.3781753,0.6462697,3.1310554,1.1383848,0.0,0.0,34.31334053,97.7395078,5.339553956,63.2806255,57
camels_01169000,42.63842,-72.72509,233.4531969,0.502749,0.30589455,1.0907841,0.054277893,3.1246498,0.6108145,3.681503,0.8790196,0.0,0.0,72.0,100.0,6.0,59.0,0
camels_01170100,42.70342,-72.67065,109.1789427,0.51648754,0.30689874,1.093496,0.05523614,3.1769662,0.61930186,3.5820062,0.9093623,0.0,18.0,68.0,93.0,8.0,58.0,0
camels_01181000,42.23731,-72.89565,244.8619753,0.5179863,0.22307068,1.1008403,0.05379877,3.200636,0.62019163,3.7657597,0.89191043,0.0,0.0,64.19903548,100.0,6.479935699,59.0,0
camels_01187300,42.03732,-72.93899,53.91775233,0.54538554,0.22370748,1.1044776,0.055715263,3.2954626,0.6313484,3.6920123,0.92738193,0.0,0.0,57.31324493,99.9775483,6.907251471,60.00513691,1171
camels_01195100,41.30593,-72.5312,16.07590489,0.722926,0.076181516,1.1310616,0.05906913,3.5277472,0.65701574,3.4033046,1.1857082,0.0,0.0,21.12280126,100.0,7.112280126,61.77543975,100
camels_01333000,42.70897,-73.19677,111.3226948,0.53904325,0.3152463,1.0839363,0.051266257,2.9801776,0.59685147,3.4563189,1.0272759,0.0,100.0,116.0,100.0,14.0,45.0,0
camels_01350000,42.31953,-74.43654,613.6460532,0.53585374,0.29063517,1.1171032,0.049623545,2.9729364,0.6015058,3.538924,0.8786187,0.0,2.487006062,103.2181667,84.93054557,17.38979984,42.61020016,0
camels_01350080,42.37703,-74.41292,89.52601183,0.5622827,0.29325488,1.1069767,0.048870638,2.9236975,0.5953457,3.345666,0.9327921,0.0,0.002477721,82.71317215,94.12729794,17.00287157,43.01777008,0
camels_01350140,42.42897,-74.47293,47.67337883,0.57885534,0.3026376,1.1045959,0.04770705,2.8399334,0.58412045,3.2093916,1.0047107,0.0,0.0,69.69756366,96.83726658,17.0,43.92180597,252
camels_01365000,41.86648,-74.4871,102.6028614,0.508556,0.30239105,1.1145375,0.05195072,3.055325,0.6047912,3.7995126,0.9000163,0.0,20.0,110.0,100.0,18.0,43.0,0
camels_01411300,39.30694,-74.82056,79.23047617,0.8503162,0.0,1.119197,0.061054073,3.6871004,0.6710472,3.0469623,1.1245639,2.159999172,0.0,3.114887305,99.69222876,13.971485,55.93777294,0
camels_01413500,42.14481,-74.65349,433.2357388,0.525646,0.30135027,1.1033386,0.04750171,2.8218584,0.5778918,3.4912853,0.91752934,0.0,0.0,116.5426775,72.1781917,18.0,41.06064416,0
camels_01414500,42.1062,-74.73043,67.18949203,0.5187839,0.30323958,1.0958467,0.04695414,2.8333333,0.57713896,3.5691562,0.9253439,0.0,0.0,116.9331379,95.67711847,18.0,41.98876477,0
camels_01415000,42.12009,-74.81849,86.58960358,0.54151756,0.30633914,1.0927153,0.04517454,2.7695622,0.5717317,3.3553736,0.9744827,0.0,0.0,108.8854792,88.87380529,17.98460439,42.01539561,0
camels_01423000,42.1662,-75.13989,860.7021764,0.5514608,0.30321136,1.1041322,0.04572211,2.7547917,0.5705681,3.268916,0.9777315,0.0,0.0,92.70023526,65.37346197,17.24601535,42.55651759,0
camels_01434025,41.99537,-74.50099,9.876233731,0.49668327,0.30057195,1.1035007,0.049623545,2.928233,0.5920602,3.8221245,0.86963695,0.0,0.0,114.8131828,95.06995541,17.09300446,43.72098662,0
camels_01435000,41.89009,-74.58988,183.2001628,0.50240093,0.30162376,1.112782,0.05065024,2.9662347,0.5952772,3.7959788,0.8856494,0.0,1.654772946,104.253618,96.50916091,17.12729023,44.0,0
camels_01439500,41.08815,-75.03767,305.7564933,0.6049966,0.21860814,1.1186206,0.055509925,3.3610108,0.63723475,3.3694375,0.98860246,0.0,65.49389114,36.14696099,100.0,17.56010199,43.41533722,0
camels_01440000,41.10667,-74.95222,171.368266,0.6453499,0.22576348,1.1151272,0.057015743,3.4775794,0.652909,3.1715345,1.0524099,0.0,83.0,54.0,100.0,19.0,41.0,0
camels_01440400,41.08481,-75.21462,178.5033035,0.5741811,0.21501392,1.1220527,0.05537303,3.3287623,0.6313484,3.511197,0.92674345,0.0,27.0,43.0,100.0,18.0,42.0,0
camels_01451800,40.66176,-75.62685,148.575984,0.62300736,0.14736344,1.1125654,0.05817933,3.513623,0.65318274,3.332627,1.0394536,1.0,39.0,38.0,37.0,20.0,39.0,0
camels_01466500,39.885,-74.50528,6.303865584,0.8001558,0.0,1.1074169,0.05927447,3.5374725,0.6590691,3.1933196,1.0532385,0.213957635,0.0,5.0,96.85583054,5.213957635,69.57208473,0
camels_01484100,38.90578,-75.51275,9.604486722,0.8135427,0.0,1.1424968,0.06201232,3.7156937,0.67091036,3.1860287,1.0465121,9.080261469,0.0,3.020065367,53.84992415,17.16573188,48.97993463,0
camels_01485500,38.22892,-75.47144,112.8075075,0.8422471,0.0,1.1394101,0.05817933,3.649962,0.65804243,3.165874,1.0688426,2.0,0.0,7.0,85.0,16.0,53.0,0
camels_01486000,38.21389,-75.67139,16.03836188,0.8610357,0.0,1.1409396,0.05817933,3.6872852,0.66098565,3.120711,1.0774863,1.0,0.0,5.0,78.0,17.0,51.0,0
camels_01487000,38.72833,-75.56186,187.2838745,0.8164369,0.0,1.1402359,0.059548255,3.6770911,0.66796714,3.1325722,1.0423859,12.84731836,0.0,3.961829589,64.04573972,18.0,48.03817041,0
camels_01491000,38.99719,-75.78581,291.5533553,0.8286326,0.0,1.1265985,0.060301162,3.7023764,0.67180014,3.0629864,1.061539,9.048637276,0.0,5.515269405,73.6903927,18.0,48.69300983,0
camels_01510000,42.54118,-75.89964,382.2670188,0.5176666,0.28986135,1.0909091,0.042710472,2.4854434,0.52005476,3.561636,0.90959007,0.0,32.50384161,63.59333758,84.51118092,17.46388645,43.18527777,0
camels_01516500,41.79091,-77.01469,31.60740125,0.6442644,0.20308249,1.1099237,0.04976044,3.087931,0.6129363,2.9395893,1.0666938,0.0,0.0,71.21190956,81.10992366,17.0,43.93360137,0
camels_01518862,41.92313,-77.53193,234.1773377,0.6172066,0.2861484,1.1096979,0.047775496,2.879281,0.5811773,2.9793663,1.0143919,0.0,0.0,81.34817667,96.78138164,17.0,43.0,0
camels_01532000,41.70702,-76.48467,556.0260154,0.63837934,0.20675938,1.1234568,0.049828883,3.1192787,0.6157426,3.0349987,1.0753149,0.0,0.0,64.81276799,85.85889958,17.39745668,43.60254332,0
camels_01539000,41.07814,-76.43106,704.1696363,0.6216088,0.22312638,1.1212976,0.054414783,3.2295141,0.62313485,3.240176,1.0939817,0.52035928,29.30691907,69.55890929,94.41400634,18.26020491,41.63954142,0
camels_01542810,41.57895,-78.29251,13.67626215,0.5724361,0.21590711,1.089109,0.04517454,2.741228,0.55612594,3.246247,0.9681396,0.0,0.0,114.3631032,100.0,19.0,40.0,0
camels_01543000,41.4134,-78.19695,703.7449939,0.5772991,0.2163688,1.0909091,0.04517454,2.7717097,0.5592745,3.2268145,0.9811395,0.0,0.0,111.4075631,99.51087401,18.99180938,40.19505041,0
camels_01543500,41.31728,-78.10306,1776.590722,0.5783638,0.2169473,1.09375,0.04551677,2.7969337,0.5618754,3.256558,0.97769505,0.0,0.0,98.87243784,99.79835624,18.99675755,40.02768194,0
camels_01544500,41.4759,-77.82582,362.7805769,0.59489185,0.21170785,1.1095679,0.04921287,2.9221046,0.58542097,3.160718,1.0226666,0.0,0.0,114.3477207,100.0,18.39128679,41.60871321,0
camels_01545600,41.38951,-77.69082,123.395358,0.6149475,0.21501309,1.1119186,0.052361395,3.0788832,0.60376453,3.1011176,1.0788591,0.0,0.0,109.0,100.0,19.0,42.0,0
camels_01547700,41.05951,-77.60583,115.0446357,0.62594366,0.21306846,1.1174785,0.05338809,3.1888928,0.61704314,3.1185057,1.0503098,0.0,89.0,98.0,97.0,18.0,41.0,0
camels_01548500,41.52174,-77.44748,1555.226267,0.60153496,0.20679162,1.1119632,0.049623545,2.921268,0.586653,3.1146796,1.0091976,0.0,0.0,93.97750036,97.76713639,17.53603942,43.11325261,0
camels_01549500,41.47368,-77.23081,98.67456297,0.60808474,0.20904984,1.1142857,0.050718687,3.1040723,0.61040384,3.173787,1.049996,0.0,0.728063921,86.136289,98.0363958,17.9992869,43.97559351,0
camels_01550000,41.41841,-77.03275,455.6402648,0.60891265,0.20886293,1.1208955,0.05140315,3.0729852,0.60807663,3.195646,1.0482184,0.0,0.593586716,88.54804193,99.10595837,17.96946443,42.74987378,0
camels_01552000,41.32508,-76.91246,1127.701632,0.5924852,0.21231301,1.1217656,0.0504449,3.0777507,0.6069131,3.3331416,1.0313969,0.0,2.633439737,71.13025329,99.97309917,17.98150882,42.77989575,0
camels_01552500,41.35702,-76.53467,62.07354634,0.5824903,0.21446733,1.1253777,0.05099247,3.0661356,0.60609174,3.4245455,1.0144408,0.0,0.0,83.69536324,100.0,18.98836396,41.02310457,0
camels_01557500,40.68367,-78.23362,117.7833762,0.6301413,0.21543017,1.1238806,0.05154004,3.1097817,0.60492814,3.1349323,1.0247276,0.0,100.0,81.0,99.0,19.0,41.0,0
camels_01567500,40.37092,-77.40221,39.55977382,0.677524,0.14219181,1.1384181,0.055167694,3.4789145,0.64934975,3.0959117,1.0350109,0.0,12.32264819,72.8585063,99.00069641,18.97137325,40.05864632,0
camels_01568000,40.32342,-77.16887,535.8875183,0.69152296,0.14281702,1.1339915,0.0550308,3.4983437,0.6505818,3.0764592,1.0430926,0.009902892,19.98914968,73.92066842,98.05053852,19.21554525,39.78445475,0
camels_01580000,39.62997,-76.40331,246.8503043,0.70767087,0.06654754,1.1293801,0.057357974,3.555308,0.6555784,3.1728044,0.9963706,0.704257417,0.0,32.88722775,74.7744555,18.29574258,44.0,0
camels_01583500,39.51078,-76.6765,163.3981125,0.7140616,0.06743173,1.1073298,0.057905544,3.5855484,0.65550995,3.19025,1.0047576,0.0,11.0,33.0,70.0,19.0,43.0,0
camels_01586610,39.45189,-76.95531,72.78865628,0.74735606,0.06902428,1.1240106,0.058316223,3.6393995,0.6638604,3.0495203,1.0663307,0.0,16.84656065,29.958505,69.7174368,19.03325235,44.79843635,0
camels_01591400,39.25597,-77.05106,59.55746968,0.7646795,0.068426594,1.1320754,0.057494868,3.6969237,0.666256,3.039011,1.076573,0.989369387,0.0,23.03320884,51.99145248,18.01063061,44.99715083,0
camels_01594950,39.27669,-79.39031,6.13801383,0.5283454,0.2376044,1.1044488,0.03908282,2.6138752,0.51060915,3.7907631,0.89170206,0.0,12.30342062,60.68083946,97.84041973,20.0,40.0,0
camels_01596500,39.57006,-79.10194,127.6101761,0.62368083,0.22771375,1.1062802,0.04702259,2.9103642,0.5689254,3.2895913,1.0232648,0.0,100.0,98.0,97.0,19.0,41.0,0
camels_01605500,38.63567,-79.33782,474.1732417,0.631777,0.22364737,1.1454545,0.047433265,3.056192,0.5844627,3.3130555,0.93805075,0.0,75.19531213,116.2985729,99.73506453,19.73506453,41.53892533,0
camels_01606500,38.99122,-79.17587,1685.174708,0.6262629,0.22396305,1.1211604,0.044969197,2.950802,0.56652975,3.3328173,0.92273647,0.0,62.12508287,133.4730475,99.67585227,19.94156623,40.89024155,0
camels_01613050,39.89842,-78.13223,27.89464855,0.7406763,0.14514908,1.1453238,0.05448323,3.5950599,0.65749484,2.9219527,1.1493596,0.0,19.00519466,54.00999829,100.0,19.0,41.99846813,0
camels_01620500,38.33763,-79.24004,61.1271779,0.73493505,0.15029159,1.1430722,0.05195072,3.5630698,0.6418891,3.0038276,1.0806566,0.0,0.729359114,131.3368761,99.91283035,17.09732595,44.98605286,0
camels_01632000,38.63706,-78.8528,546.7043875,0.78741807,0.06812152,1.1587538,0.053456537,3.6835444,0.6572895,2.7974334,1.0974525,0.137046643,5.13525948,112.8711472,96.37225359,19.55677896,41.25023308,0
camels_01632900,38.69345,-78.64279,248.8236103,0.82269686,0.06931302,1.1632948,0.05509925,3.851288,0.67535937,2.6320932,1.1612041,1.0,34.36268059,57.72019263,78.29531303,21.28497592,38.71502408,0
camels_01634500,39.08122,-78.32945,264.2267799,0.7807418,0.0654778,1.1406026,0.054414783,3.6518264,0.6568788,2.8590834,1.0756723,0.0,14.41411087,80.3310899,96.74520077,20.46497132,40.07005736,0
camels_01638480,39.25455,-77.57638,233.5872892,0.78893834,0.0,1.1554054,0.05852156,3.7562094,0.6728268,2.8836324,1.1361376,2.0,14.0,32.0,42.0,18.0,41.0,0
camels_01639500,39.61236,-77.23744,266.9608884,0.75269574,0.06968743,1.1197368,0.058247775,3.6411123,0.6631759,3.007532,1.0715638,0.502690178,4.650537208,30.30910733,57.68985249,19.49730982,40.96737114,0
camels_01644000,39.01955,-77.57749,858.8115964,0.7865108,0.0,1.1465753,0.057289526,3.72338,0.67255306,2.8823593,1.1135104,0.810306475,18.14351486,37.27719552,73.32558179,18.54430816,40.65309924,0
camels_01658500,38.58734,-77.4286,23.7826793,0.8313211,0.0,1.1458334,0.060232718,3.8439798,0.67960304,2.927846,1.116377,0.009026571,0.0,22.92262254,95.85758165,18.01805314,45.98194686,0
camels_01664000,38.53068,-77.8136,1603.511552,0.7873022,0.0,1.1605633,0.056399725,3.7574828,0.67022586,2.90787,1.0792639,0.020930788,22.08521492,54.59550949,96.87426668,19.92769393,41.62450536,0
camels_01666500,38.32513,-78.09556,465.6380081,0.7566901,0.0,1.1534009,0.054551676,3.7181854,0.66194385,3.0184927,1.0674319,0.0,2.917070097,59.54789924,93.65850384,20.27059972,42.09416681,0
camels_01667500,38.35041,-77.975,1209.918944,0.7643978,0.0,1.1573677,0.05537303,3.736213,0.66310745,3.0012102,1.0875105,0.241635878,1.631596658,57.15017118,92.34008744,20.6955908,41.5211515,0
camels_01669000,37.87708,-76.90052,75.19450209,0.819217,0.0,1.1432432,0.057905544,3.783721,0.6681725,3.0759008,1.0397744,0.997710054,0.0,14.972882,96.9806155,16.99144121,46.027118,0
camels_01669520,37.63375,-76.69635,277.3165226,0.7902881,0.0,1.1346939,0.057084188,3.7186532,0.6577002,3.1975873,0.9874674,0.0,0.0,10.07411256,99.97529581,16.64642416,47.37828003,0
camels_02011400,38.04235,-79.88144,409.8109273,0.66313964,0.15948246,1.1485451,0.0513347,3.3263862,0.6117728,3.198408,1.0379708,0.0,2.373991276,106.8585412,99.6117539,19.0,42.32171678,0
camels_02011460,38.2454,-79.76866,235.3075158,0.6203808,0.23740847,1.1430818,0.04976044,3.09877,0.5862423,3.3716633,0.9732357,0.0,17.05582029,141.3494367,100.0,19.0,42.8996245,344
camels_02013000,37.8029,-80.047,436.076148,0.7041736,0.07548343,1.1585366,0.052019164,3.40967,0.6226557,3.1098235,1.0099021,0.0,0.831010743,121.3167481,98.71489955,20.41425646,42.25108536,0
camels_02014000,37.72901,-80.04228,396.9886817,0.7132202,0.074741326,1.16,0.051608488,3.4595826,0.6239562,3.105772,0.9953153,0.0,31.81958569,108.6317736,99.38349827,20.0,41.59205659,0
camels_02015700,38.1954,-79.57032,286.3772067,0.6684306,0.15491293,1.1504703,0.050239563,3.3307436,0.6162218,3.181506,1.0283661,0.0,0.0,97.94118981,99.57841431,18.53357497,43.46642503,0
camels_02016000,37.7918,-79.75949,1193.966563,0.7212672,0.07545215,1.1587538,0.053456537,3.5478194,0.6347707,3.016976,1.0911849,0.0,0.0,100.235792,99.58069719,18.54063473,43.38346995,0
camels_02017500,37.50624,-80.10671,285.2584062,0.7347306,0.07524295,1.1640867,0.051471595,3.4775496,0.6255305,3.066579,1.0014834,0.0,23.945451,96.10637949,100.0,20.4737196,41.5262804,0
camels_02018000,37.66596,-79.91144,851.7021881,0.7326808,0.07462538,1.161876,0.052566737,3.529502,0.630527,3.0791876,1.0079587,0.0,11.1158793,99.1924939,99.81684157,20.49942384,41.34724744,0
camels_02027000,37.71542,-78.98169,241.3288601,0.7429889,0.0,1.1618258,0.057494868,3.768116,0.6584531,3.1522963,1.0628095,0.392018367,16.41550408,114.9906408,100.0,18.78403673,45.21596327,0
camels_02027500,37.70236,-79.02752,127.9128069,0.7442884,0.0,1.1574585,0.057357974,3.7973187,0.6591376,3.1407597,1.071758,0.0,0.0,105.0,96.0,19.0,46.0,0
camels_02028500,37.86959,-78.82335,246.2660868,0.763396,0.0,1.1719834,0.0578371,3.8509538,0.6631759,3.0505176,1.0769844,0.0,12.12731752,101.3214408,99.55124171,20.55124171,42.44875829,0
camels_02038850,37.41542,-78.63584,23.65148359,0.8522601,0.0,1.1736771,0.059206024,3.973906,0.6775496,2.963349,1.1318263,0.0,0.067618362,26.86211083,99.0117118,20.03425126,43.96574874,0
camels_02046000,37.06709,-77.60249,290.9140451,0.8156802,0.0,1.1448276,0.056810405,3.8320851,0.66543466,3.1585326,1.0290929,0.0,0.0,13.35000742,100.0,19.67500371,46.32499629,0
camels_02051000,36.99737,-78.34972,144.7794768,0.84465575,0.0,1.1610738,0.059206024,3.9347825,0.66899383,3.0674093,1.0737158,0.0,0.0,18.0,98.0,20.0,45.0,0
camels_02051500,36.71681,-77.83166,1431.775131,0.83970493,0.0,1.1641587,0.058247775,3.8678644,0.6631759,3.0849898,1.0667248,0.649940183,0.0,17.11609907,92.86469192,19.96016784,45.58971495,0
camels_02053200,36.37083,-77.02556,581.3053451,0.79900616,0.0,1.1635846,0.05598905,3.7738237,0.6532512,3.307211,0.93218213,1.861843082,0.0,5.826942206,73.05560214,17.38684645,47.31762236,0
camels_02053800,37.14013,-80.26643,288.2974138,0.77598953,0.0,1.1784037,0.05154004,3.6143079,0.63627654,3.0381389,0.9724387,0.0,100.0,93.34745868,95.35793778,20.55808036,42.70629635,0
camels_02055100,37.41763,-79.93532,33.23989639,0.7449142,0.0,1.1744361,0.053456537,3.735329,0.6491444,3.0711274,1.0489274,0.0,58.73558875,68.23541944,74.34220128,23.0,40.97972326,456
camels_02056900,37.04514,-79.8442,299.1927681,0.7660047,0.0,1.1862891,0.05448323,3.7751386,0.65270364,3.1120453,0.9955334,0.482191463,21.67672439,70.71234146,95.66027683,20.0,43.48219146,0
camels_02059500,37.1732,-79.52031,486.2332953,0.81355006,0.0,1.1773742,0.057700206,3.9375,0.6683778,2.896796,1.1455066,0.0,31.38618448,55.92568746,84.90365574,20.87797438,43.14299961,0
camels_02064000,37.12681,-78.95974,427.7065487,0.8319027,0.0,1.1693333,0.06002738,4.0373225,0.68117726,3.005421,1.1321352,0.70394912,68.32124896,24.23793635,96.80536255,21.0,44.0,0
camels_02065500,37.07931,-78.76362,252.6824726,0.8283537,0.0,1.1744505,0.05852156,4.00609,0.67535937,3.0505126,1.1015561,0.395506738,0.0,22.79101348,96.41797305,19.60449326,44.39550674,0
camels_02069700,36.57097,-80.12949,228.8032587,0.7175222,0.0,1.167894,0.054277893,3.7175481,0.63511294,3.3728974,0.9969591,0.0,0.0,66.97161219,93.72555283,21.03470044,41.96529956,0
camels_02070000,36.56819,-79.98726,278.8594484,0.77056795,0.0,1.1824818,0.05544148,3.8469017,0.6501027,3.191809,1.0517503,0.0,0.0,41.77993301,96.51333014,21.0,42.48666986,0
camels_02074500,36.61958,-79.50419,288.736598,0.8830169,0.0,1.1697055,0.057084188,4.0468364,0.67419577,2.8626776,1.1683048,1.0,0.0,25.59933017,56.17186713,21.0,43.59933017,0
camels_02077200,36.39778,-79.19667,126.356353,0.8272989,0.0,1.1711841,0.056194387,3.855189,0.65598905,3.1438036,1.0201439,1.0,0.0,20.0,50.0,21.0,44.0,0
camels_02081500,36.19417,-78.58306,432.9701567,0.8072572,0.0,1.1633803,0.05653662,3.8078306,0.6523614,3.2291007,0.99259114,1.0,0.0,13.60180635,60.99100075,21.0,43.67427574,0
camels_02082950,36.18333,-77.87611,461.3815004,0.81079334,0.0,1.1585536,0.057015743,3.7953823,0.65256673,3.290113,0.98127645,0.083476175,0.0,14.22298943,96.0407882,19.59850066,45.72746327,0
camels_02092500,35.06417,-77.46139,435.0607835,0.7465444,0.0,1.1604939,0.051471595,3.6844661,0.6234086,3.6111293,0.8739501,1.66862654,49.30519547,5.239858068,67.00815723,19.91524,43.93700123,0
camels_02096846,35.98722,-79.20611,19.6162165,0.82182616,0.0,1.1628242,0.05523614,3.8464344,0.6497604,3.2068563,0.97670513,0.006018897,0.0,19.96388662,90.74538667,21.0060189,42.99522338,0
camels_02102908,35.18278,-79.1775,20.18718074,0.8531013,0.0,1.1836735,0.05557837,3.8220859,0.6396304,3.395282,1.0108254,1.001288611,0.237831787,15.97783398,64.08488001,15.00128861,53.0270364,0
camels_02108000,34.82889,-77.83222,1567.000832,0.75332326,0.0,1.1628264,0.051813826,3.7396812,0.62635183,3.5563622,0.8728222,5.139462065,3.116773169,5.769664999,29.62437795,17.7342852,47.35135146,0
camels_02111180,36.07139,-81.40306,131.1434223,0.6094297,0.0,1.192953,0.048665296,3.4535022,0.5973306,3.796935,0.8474061,0.0,0.0,114.0,100.0,20.0,43.0,0
camels_02111500,36.175,-81.16889,233.1074098,0.64551973,0.0,1.170886,0.05065024,3.544484,0.61355233,3.6266782,0.9059712,0.0,0.0,96.0,96.0,20.0,44.0,0
camels_02112120,36.25028,-81.04444,329.764991,0.6721479,0.0,1.1779528,0.05119781,3.6388,0.6226557,3.5163436,0.9552764,0.0,0.0,90.91048911,100.0,20.03215227,44.0,0
camels_02112360,36.31139,-80.80722,206.7761286,0.7071964,0.0,1.1935484,0.05318275,3.761405,0.6377139,3.3474934,1.0230497,0.066614423,0.0,64.26880865,90.86990577,20.93338558,43.06661442,0
camels_02118500,36.00056,-80.74556,400.4421656,0.7587635,0.0,1.1720734,0.05687885,3.8683462,0.65160847,3.2105668,1.0851903,0.384509553,0.0,43.27603522,53.11273237,20.68041686,43.38450955,0
camels_02125000,35.33472,-80.33556,144.6863537,0.82086056,0.0,1.1750358,0.056057494,3.9362054,0.65037644,3.2242334,1.0176399,1.0,0.0,19.0,80.0,21.0,43.0,0
camels_02128000,35.38722,-79.83139,271.8509526,0.84006995,0.0,1.1540656,0.05537303,3.9286597,0.6520876,3.1657324,0.9945227,0.0,0.0,21.0,93.01748442,21.0,43.0,0
camels_02137727,35.68583,-82.06028,329.0155921,0.6406125,0.0,1.1772357,0.0495551,3.5143783,0.5939083,3.703009,0.84446067,0.0,0.0,117.0571471,97.7736267,19.2263733,44.0,0
camels_02140991,35.83361,-81.71194,522.0718825,0.6066128,0.0,1.1797005,0.048528407,3.401509,0.5862423,3.828733,0.8158216,0.083217685,0.0,105.6540293,100.0,19.68476519,43.50985249,0
camels_02143000,35.68444,-81.40333,222.2336441,0.78072965,0.0,1.2070484,0.056262832,3.929642,0.64606434,3.1815155,1.0775634,0.327157667,0.0,64.92618699,85.71619589,20.32715767,44.96295559,0
camels_02143040,35.59069,-81.56704,68.17753889,0.7973149,0.0,1.2086331,0.057494868,3.9643302,0.65420943,3.1389391,1.0837208,0.848475045,0.0,47.9719586,80.93441942,20.0,44.91238591,0
